Source,Target,Type
Won Bin,Jin Goo,Undirected
Jung-woo Ha,Yeong-hie Seo,Undirected
Martin Freeman,Richard Armitage,Undirected
Ernst Jacobi,Leonie Benesch,Undirected
Noomi Rapace,Ewa Fröling,Undirected
Alex Sharp,Sacha Baron Cohen,Undirected
Thomas Bo Larsen,Magnus Millang,Undirected
Christian Bale,Amy Adams,Undirected
Maggie Grace,Famke Janssen,Undirected
David Thewlis,Rupert Friend,Undirected
Markéta Irglová,Hugh Walsh,Undirected
Ian McKellen,Richard Armitage,Undirected
Nurgül Yesilçay,Tuncel Kurtiz,Undirected
James McAvoy,Brenda Blethyn,Undirected
Carey Mulligan,Bryan Cranston,Undirected
Russell Crowe,Chiwetel Ejiofor,Undirected
Zoe Saldana,Sigourney Weaver,Undirected
Sarah Polley,Diane Kruger,Undirected
Raoul Max Trujillo,Dalia Hernández,Undirected
Steve Carell,Toni Collette,Undirected
Nick Frost,Martin Freeman,Undirected
Cate Blanchett,Tilda Swinton,Undirected
Preity Zinta,Rani Mukerji,Undirected
Mads Mikkelsen,Nicolas Bro,Undirected
Matthew Macfadyen,Brenda Blethyn,Undirected
Diane Ladd,Iain Rea,Undirected
Tôru Emori,Yoshiaki Umegaki,Undirected
Gina Torres,Chiwetel Ejiofor,Undirected
Reese Witherspoon,Ginnifer Goodwin,Undirected
Henrik Lundström,Gustaf Skarsgård,Undirected
James Garner,Rachel McAdams,Undirected
Rodrigo De la Serna,Mía Maestro,Undirected
Artyom Bogucharskiy,Pavel Ponomaryov,Undirected
Jean-Claude Donda,Michel Robin,Undirected
Lee Byung-Hun,Kang-ho Song,Undirected
Guy Pearce,Christopher Adamson,Undirected
Trevor Jack Brooks,Lorelei Linklater,Undirected
Will Patton,Wood Harris,Undirected
Michelle Yeoh,Ziyi Zhang,Undirected
Marisa Paredes,Candela Peña,Undirected
Helen Hunt,Paul Sanchez,Undirected
Sean Patrick Flanery,Norman Reedus,Undirected
Al Pacino,Christopher Plummer,Undirected
Chris Cooper,Laura Dern,Undirected
Mike Myers,Eddie Murphy,Undirected
Kate Winslet,Billy Zane,Undirected
Kayoko Kishimoto,Ren Osugi,Undirected
Uma Thurman,Jude Law,Undirected
Deborah Kara Unger,Sean Penn,Undirected
Stellan Skarsgård,Katrin Cartlidge,Undirected
Martin Landau,Sarah Jessica Parker,Undirected
Leonardo DiCaprio,Juliette Lewis,Undirected
Kurt Russell,Val Kilmer,Undirected
Mike Vitar,Art LaFleur,Undirected
Emma Thompson,John Haycraft,Undirected
Lesley Sharp,Katrin Cartlidge,Undirected
Tommy Lee Jones,Sela Ward,Undirected
Chazz Palminteri,Lillo Brancato,Undirected
Frank Paur,Dan Riba,Undirected
Tony Chiu-Wai Leung,Teresa Mo,Undirected
Gena Rowlands,Lisanne Falk,Undirected
Wladyslaw Kowalski,Halina Gryglaszewska,Undirected
Laurence Fishburne,Hudhail Al-Amir,Undirected
Kathy Bates,Richard Farnsworth,Undirected
Robin Williams,Julie Kavner,Undirected
Minami Takayama,Rei Sakuma,Undirected
Denzel Washington,Cary Elwes,Undirected
Danny Lee,Sally Yeh,Undirected
Christopher Lloyd,Lea Thompson,Undirected
Willem Dafoe,Frances McDormand,Undirected
Carl Weathers,Kevin Peter Hall,Undirected
Sarah Berry,Dan Hicks,Undirected
Alan Ruck,Mia Sara,Undirected
John Lurie,Roberto Benigni,Undirected
Josh Brolin,Jeff Cohen,Undirected
Whoopi Goldberg,Oprah Winfrey,Undirected
Judd Nelson,Molly Ringwald,Undirected
Haing S. Ngor,John Malkovich,Undirected
Dan Aykroyd,Sigourney Weaver,Undirected
Scott Glenn,Ed Harris,Undirected
Jerry Lewis,Diahnne Abbott,Undirected
Drew Barrymore,Peter Coyote,Undirected
Meryl Streep,Jane Alexander,Undirected
Brooke Adams,Sam Shepard,Undirected
Sondra Locke,Chief Dan George,Undirected
Michael Caine,Christopher Plummer,Undirected
John Cazale,Allen Garfield,Undirected
Jennifer Drake,Eric Baugin,Undirected
Terence Alexander,Michel Auclair,Undirected
Sissy Spacek,Warren Oates,Undirected
Michael York,Helmut Griem,Undirected
Jack Albertson,Peter Ostrum,Undirected
Jon Voight,Sylvia Miles,Undirected
Alan Arkin,Richard Crenna,Undirected
Sidney Poitier,Katharine Hepburn,Undirected
Faye Dunaway,Michael J. Pollard,Undirected
Rex Harrison,Stanley Holloway,Undirected
Dick Van Dyke,David Tomlinson,Undirected
Gerd Oswald,Bernhard Wicki,Undirected
Oskar Werner,Henri Serre,Undirected
Peter Wyngarde,Megs Jenkins,Undirected
Jean Seberg,Daniel Boulanger,Undirected
John Wayne,Montgomery Clift,Undirected
Edward G. Robinson,Lauren Bacall,Undirected
Lauren Bacall,Walter Brennan,Undirected
Joseph Cotten,Macdonald Carey,Undirected
Claire Trevor,Andy Devine,Undirected
Michael Redgrave,Paul Lukas,Undirected
Cary Grant,Charles Ruggles,Undirected
Elsa Lanchester,Colin Clive,Undirected
Harpo Marx,Chico Marx,Undirected
Paul Muni,Ann Dvorak,Undirected
Mae Clarke,Boris Karloff,Undirected
Marina de Tavira,Diego Cortina Autrey,Undirected
Alec Secareanu,Gemma Jones,Undirected
Josh Brolin,Morena Baccarin,Undirected
Jeremy Renner,Julia Jones,Undirected
Allison Williams,Bradley Whitford,Undirected
Henry Cavill,Ving Rhames,Undirected
Bahar Pars,Filip Berg,Undirected
Jemaine Clement,Taika Waititi,Undirected
Sara Takatsuki,Kasumi Arimura,Undirected
Felicity Jones,Tom Prior,Undirected
Taron Egerton,Samuel L. Jackson,Undirected
Ansel Elgort,Nat Wolff,Undirected
RJ Cyler,Olivia Cooke,Undirected
Zach Galifianakis,Edward Norton,Undirected
Adèle Exarchopoulos,Salim Kechiouche,Undirected
Sushant Singh Rajput,Rajkummar Rao,Undirected
Johan Heldenbergh,Nell Cattrysse,Undirected
Chris Evans,Samuel L. Jackson,Undirected
Nargis Fakhri,Shammi Kapoor,Undirected
Will Forte,June Squibb,Undirected
Jack McBrayer,Jane Lynch,Undirected
Mackenzie Foy,Rachel McAdams,Undirected
Christina Hendricks,Marcia Gay Harden,Undirected
Rachel McAdams,Kathy Bates,Undirected
Chris Pratt,Will Ferrell,Undirected
George Clooney,Ed Harris,Undirected
Zachary Quinto,Zoe Saldana,Undirected
Emmanuel Affadzi,Ricky Adelayitor,Undirected
Andrew Garfield,Justin Timberlake,Undirected
Michael Fassbender,Jennifer Lawrence,Undirected
Bradley Cooper,Justin Bartha,Undirected
Javier Bardem,Naomie Harris,Undirected
Jennifer Lawrence,Robert De Niro,Undirected
Bryan Cranston,John Goodman,Undirected
Joseph Gordon-Levitt,Geoffrey Arend,Undirected
Emma Watson,Rupert Grint,Undirected
Matt Damon,Liam Neeson,Undirected
Michael Sheen,Kevin Bacon,Undirected
Tôru Emori,Katsunosuke Hori,Undirected
Colm Feore,Amy Ryan,Undirected
Callan McAuliffe,Rebecca De Mornay,Undirected
Takuya Ishida,Mitsutaka Itakura,Undirected
Ken'ichi Matsuyama,Asaka Seto,Undirected
Stephen Graham,Jo Hartley,Undirected
Domhnall Gleeson,Oscar Isaac,Undirected
Sidse Babett Knudsen,Rolf Lassgård,Undirected
Forest Whitaker,Gillian Anderson,Undirected
Robert Downey Jr.,Mark Ruffalo,Undirected
Ben Kingsley,Morgan Freeman,Undirected
Benno Fürmann,Guillaume Canet,Undirected
Samantha Morton,Craig Parkinson,Undirected
Mandy Moore,Zachary Levi,Undirected
Sebastian Koch,Thom Hoffman,Undirected
Heath Ledger,Michelle Williams,Undirected
Christian Bale,Ben Foster,Undirected
Sandra Bullock,Thandie Newton,Undirected
Wah Yuen,Qiu Yuen,Undirected
Franka Potente,Joan Allen,Undirected
Jennifer Jason Leigh,Aitana Sánchez-Gijón,Undirected
Regina King,Kerry Washington,Undirected
Scarlett Johansson,Giovanni Ribisi,Undirected
Emma Watson,Rupert Grint,Undirected
Christopher Walken,Dakota Fanning,Undirected
Teri Hatcher,John Hodgman,Undirected
Ken Watanabe,Billy Connolly,Undirected
Dorothy Duffy,Nora-Jane Noone,Undirected
Katrin Saß,Chulpan Khamatova,Undirected
Samantha Morton,Djimon Hounsou,Undirected
Michelle Pfeiffer,Dakota Fanning,Undirected
Meryl Streep,Chris Cooper,Undirected
Ewan McGregor,Tom Sizemore,Undirected
Tyler Hoechlin,Rob Maxey,Undirected
Christian Berkel,Oliver Stokowski,Undirected
Julie Walters,Jean Heywood,Undirected
Miriam Shor,Stephen Trask,Undirected
Brad Pitt,Julia Roberts,Undirected
John Rafter Lee,Pamela Adlon,Undirected
George Clooney,John Turturro,Undirected
Gary Oldman,Kurt Russell,Undirected
Matt Stone,Mary Kay Bergman,Undirected
Jennifer Aniston,David Herman,Undirected
Jon Lovitz,Philip Seymour Hoffman,Undirected
Ethan Hawke,Scott Glenn,Undirected
Bill Murray,Olivia Williams,Undirected
Penélope Cruz,Chete Lera,Undirected
Cameron Diaz,Catherine Keener,Undirected
Helen Hunt,Greg Kinnear,Undirected
Milla Jovovich,Gary Oldman,Undirected
Jacques Villeret,Francis Huster,Undirected
Johnny Depp,Michael Madsen,Undirected
Armin Mueller-Stahl,Justin Braine,Undirected
Laura Linney,Edward Norton,Undirected
Julie Christie,Derek Jacobi,Undirected
Eleanor Bron,Liam Cunningham,Undirected
Michelle Reis,Takeshi Kaneshiro,Undirected
Massimo Troisi,Philippe Noiret,Undirected
Jeff Anderson,Marilyn Ghigliotti,Undirected
Julianne Moore,Tim Robbins,Undirected
Denzel Washington,Roberta Maxwell,Undirected
Kermit the Frog,Dave Goelz,Undirected
Angela Bassett,Delroy Lindo,Undirected
Madeleine Stowe,Russell Means,Undirected
Tokiko Katô,Bunshi Katsura Vi,Undirected
Jack Lemmon,Alec Baldwin,Undirected
Jack Nicholson,Demi Moore,Undirected
Jessica Tandy,Mary Stuart Masterson,Undirected
John Turturro,John Goodman,Undirected
Gabriel Byrne,Albert Finney,Undirected
Christopher Lloyd,Joanna Cassidy,Undirected
Gene Bervoets,Johanna ter Steege,Undirected
Paul McGann,Richard Griffiths,Undirected
Joan Chen,Peter O'Toole,Undirected
John Malkovich,Miranda Richardson,Undirected
Christian Slater,Helmut Qualtinger,Undirected
Kyle MacLachlan,Dennis Hopper,Undirected
Jeff Daniels,Danny Aiello,Undirected
Rosanna Arquette,Verna Bloom,Undirected
Mia Farrow,Patrick Horgan,Undirected
Charlotte Rampling,Jack Warden,Undirected
Leonard Nimoy,DeForest Kelley,Undirected
Brian Dennehy,Richard Crenna,Undirected
Mary Tyler Moore,Judd Hirsch,Undirected
Jerry Zucker,Robert Hays,Undirected
Eiko Masuyama,Kiyoshi Kobayashi,Undirected
Jamie Lee Curtis,Tony Moran,Undirected
Isabelle Adjani,Melvyn Douglas,Undirected
Diane Keaton,Georges Adet,Undirected
Robert Shaw,Martin Balsam,Undirected
Gene Wilder,Slim Pickens,Undirected
John Randolph,Jack Kehoe,Undirected
John Saxon,Jim Kelly,Undirected
Burt Reynolds,Ned Beatty,Undirected
Roy Scheider,Fernando Rey,Undirected
Andrew Robinson,Harry Guardino,Undirected
Clint Eastwood,Mary Ure,Undirected
Walter Matthau,John Fiedler,Undirected
Ernest Borgnine,Charles Bronson,Undirected
Jean Sorel,Michel Piccoli,Undirected
Wendy Hiller,Robert Shaw,Undirected
Ian Hendry,John Fraser,Undirected
Jack Hawkins,Ulla Jacobsson,Undirected
Gert Fröbe,Honor Blackman,Undirected
Tippi Hedren,Jessica Tandy,Undirected
Robert Mitchum,Polly Bergen,Undirected
Anna Massey,Moira Shearer,Undirected
Steve McQueen,Charles Bronson,Undirected
Alida Valli,Juliette Mayniel,Undirected
Dana Wynter,Larry Gates,Undirected
Natalie Wood,Sal Mineo,Undirected
Peter Sellers,Cecil Parker,Undirected
Audrey Hepburn,William Holden,Undirected
Maureen O'Hara,Barry Fitzgerald,Undirected
Patricia Neal,Hugh Marlowe,Undirected
Katharine Hepburn,Robert Morley,Undirected
Glenn Ford,George Macready,Undirected
Ford Beebe Jr.,Norman Ferguson,Undirected
Gloria Stuart,William Harrigan,Undirected
Anne Hathaway,Tim Robbins,Undirected
Debra Messing,Joseph Lee,Undirected
Brad Pitt,Margot Robbie,Undirected
Aleksey Rozin,Matvey Novikov,Undirected
Bria Vinaite,Willem Dafoe,Undirected
Jamie Foxx,Brie Larson,Undirected
Mckenna Grace,Lindsay Duncan,Undirected
Zack Gottsagen,Ann Owens,Undirected
Frederick Lau,Franz Rogowski,Undirected
Doga Zeynep Doguslu,Tugba Sunguroglu,Undirected
Zoe Saldana,Dave Bautista,Undirected
Jon Bernthal,Jon Hamm,Undirected
Miles Teller,Jeff Bridges,Undirected
Mark Rylance,Alan Alda,Undirected
Holly Hunter,Sarah Vowell,Undirected
Don Hall,Chris Williams,Undirected
Josh Brolin,Benicio Del Toro,Undirected
Sylvester Stallone,Tessa Thompson,Undirected
Elena Lyadova,Roman Madyanov,Undirected
Ben Foster,Jeff Bridges,Undirected
Steve Coogan,Sophie Kennedy Clark,Undirected
Keri Russell,Andy Serkis,Undirected
Hugo Silva,Belén Rueda,Undirected
Ananda George,Ray Sahetapy,Undirected
Michael Peña,Anna Kendrick,Undirected
Mirai Shida,Ryûnosuke Kamiki,Undirected
Bradley Cooper,Sam Elliott,Undirected
Jeff Bridges,Matt Damon,Undirected
Trine Dyrholm,Markus Rygaard,Undirected
Steve Carell,Jason Segel,Undirected
Seth Rogen,Anna Kendrick,Undirected
Nicolas Cage,Chloë Grace Moretz,Undirected
Alberto Ammann,Antonio Resines,Undirected
Robin Wright,Jonah Hill,Undirected
Elena Anaya,Jan Cornet,Undirected
Emma Stone,Woody Harrelson,Undirected
Frederick Lau,Max Riemelt,Undirected
Jude Law,Rachel McAdams,Undirected
Sandra Bullock,Tim McGraw,Undirected
Haaz Sleiman,Danai Gurira,Undirected
Rosario Dawson,Woody Harrelson,Undirected
Viggo Mortensen,Armin Mueller-Stahl,Undirected
Claire Danes,Sienna Miller,Undirected
Evan McGuire,Brendan Gleeson,Undirected
Clive Owen,Jodie Foster,Undirected
Ed Harris,Casey Affleck,Undirected
Sylvie Testud,Pascal Greggory,Undirected
Li Sun,Yong Dong,Undirected
Jessica Biel,Paul Giamatti,Undirected
Gary Stretch,Toby Kebbell,Undirected
Emma Watson,Rupert Grint,Undirected
Lena Headey,David Wenham,Undirected
Jonathan Rhys Meyers,Emily Mortimer,Undirected
Patrick Wilson,Carla Gugino,Undirected
Ethan Hawke,Jared Leto,Undirected
Leigh Whannell,Danny Glover,Undirected
Samantha Morton,Michelle Williams,Undirected
Joseph Gordon-Levitt,Elisabeth Shue,Undirected
Marion Cotillard,Thibault Verhaeghe,Undirected
Gaspard Ulliel,Jodie Foster,Undirected
Patricia Clarkson,Bobby Cannavale,Undirected
Benicio Del Toro,Naomi Watts,Undirected
Shin Ha-kyun,Bae Doona,Undirected
Kate Winslet,Julie Christie,Undirected
Barry Pepper,Philip Seymour Hoffman,Undirected
Ashton Kutcher,Amy Smart,Undirected
Naomie Harris,Christopher Eccleston,Undirected
Aki Maeda,Tarô Yamamoto,Undirected
Gwyneth Paltrow,Anjelica Huston,Undirected
Gael García Bernal,Daniel Giménez Cacho,Undirected
Rupert Grint,Richard Harris,Undirected
Christopher Eccleston,Fionnula Flanagan,Undirected
Penélope Cruz,Franka Potente,Undirected
Ed Harris,Joseph Fiennes,Undirected
Colin Farrell,Samantha Morton,Undirected
Vicellous Shannon,Deborah Kara Unger,Undirected
Justin Theroux,Josh Lucas,Undirected
Moritz Bleibtreu,Herbert Knaup,Undirected
Sean Penn,Nick Nolte,Undirected
Ming-Na Wen,Eddie Murphy,Undirected
Benicio Del Toro,Tobey Maguire,Undirected
Ulrich Mühe,Arno Frisch,Undirected
Kiefer Sutherland,Jennifer Connelly,Undirected
Kevin Bacon,Brad Pitt,Undirected
Patricia Arquette,John Roselius,Undirected
Kate Winslet,James Fleet,Undirected
Jeremy Irons,Samuel L. Jackson,Undirected
Gary Farmer,Crispin Glover,Undirected
Meryl Streep,Annie Corley,Undirected
Bill Paxton,Kevin Bacon,Undirected
Julie Delpy,Janusz Gajos,Undirected
Robert Duvall,Barbara Hershey,Undirected
Wiley Wiggins,Matthew McConaughey,Undirected
Marisa Tomei,Ralph Macchio,Undirected
Toshirô Yanagiba,Yoko Honna,Undirected
Marie-Laure Dougnac,Dominique Pinon,Undirected
Joe Pesci,Daniel Stern,Undirected
Diane Keaton,Andy Garcia,Undirected
Meg Ryan,Carrie Fisher,Undirected
Jodi Benson,Samuel E. Wright,Undirected
Priscilla Presley,O.J. Simpson,Undirected
John Candy,Laila Robins,Undirected
Danny Glover,Gary Busey,Undirected
John Getz,Frances McDormand,Undirected
Henry Fonda,Jane Fonda,Undirected
Bruce Spence,Michael Preston,Undirected
James Remar,Dorsey Wright,Undirected
Frank Oz,Jerry Nelson,Undirected
Patrick McGoohan,Roberts Blossom,Undirected
John Hurt,Richard Briers,Undirected
Irene Miracle,Bo Hopkins,Undirected
François Truffaut,Teri Garr,Undirected
Nina van Pallandt,Sterling Hayden,Undirected
James Coburn,Romolo Valli,Undirected
Telly Savalas,Don Rickles,Undirected
Sebastian Cabot,Louis Prima,Undirected
Vanessa Redgrave,Sarah Miles,Undirected
Paul McCartney,George Harrison,Undirected
George Peppard,Patricia Neal,Undirected
Rock Hudson,James Dean,Undirected
Montgomery Clift,Deborah Kerr,Undirected
John Hodiak,Walter Slezak,Undirected
Madeleine Carroll,Lucie Mannheim,Undirected
Morgan Freeman,William Sadler,Undirected
Al Pacino,Diane Keaton,Undirected
Heath Ledger,Michael Caine,Undirected
Robert De Niro,Diane Keaton,Undirected
Lee J. Cobb,John Fiedler,Undirected
Viggo Mortensen,Orlando Bloom,Undirected
Uma Thurman,Bruce Willis,Undirected
Ralph Fiennes,Caroline Goodall,Undirected
Joseph Gordon-Levitt,Ken Watanabe,Undirected
Edward Norton,Zach Grenier,Undirected
Ian McKellen,Sean Bean,Undirected
Robin Wright,Sally Field,Undirected
Eli Wallach,Aldo Giuffrè,Undirected
Ian McKellen,Orlando Bloom,Undirected
Keanu Reeves,Carrie-Anne Moss,Undirected
Ray Liotta,Lorraine Bracco,Undirected
Harrison Ford,Billy Dee Williams,Undirected
Louise Fletcher,Peter Brocco,Undirected
Phillipa Soo,Renée Elise Goldsberry,Undirected
Lee Sun-kyun,Choi Woo-sik,Undirected
Madhavan,Aparna Balamurali,Undirected
Anne Hathaway,Mackenzie Foy,Undirected
Alexandre Rodrigues,Matheus Nachtergaele,Undirected
Suzanne Pleshette,Rumi Hiiragi,Undirected
Matt Damon,Edward Burns,Undirected
Michael Clarke Duncan,Bonnie Hunt,Undirected
Nicoletta Braschi,Giustino Durano,Undirected
Brad Pitt,Andrew Kevin Walker,Undirected
Anthony Hopkins,Kasi Lemmons,Undirected
Harrison Ford,Alec Guinness,Undirected
Akira Ishihama,Tetsurô Tanba,Undirected
Takashi Shimura,Yukiko Shimazaki,Undirected
Donna Reed,Thomas Mitchell,Undirected
Robert De Niro,Frances Conroy,Undirected
J.K. Simmons,Paul Reiser,Undirected
François Cluzet,Anne Le Ny,Undirected
Hugh Jackman,Michael Caine,Undirected
Matt Damon,Mark Wahlberg,Undirected
Thomas Kretschmann,Emilia Fox,Undirected
Joaquin Phoenix,Oliver Reed,Undirected
Edward Furlong,Jennifer Lien,Undirected
Gabriel Byrne,Stephen Baldwin,Undirected
Gary Oldman,Danny Aiello,Undirected
Matthew Broderick,James Earl Jones,Undirected
Linda Hamilton,Robert Patrick,Undirected
Enzo Cannavale,Isa Danieli,Undirected
Ayano Shiraishi,Yoshiko Shinohara,Undirected
Christopher Lloyd,Crispin Glover,Undirected
Charles Bronson,Jason Robards,Undirected
Janet Leigh,John Gavin,Undirected
Ingrid Bergman,Claude Rains,Undirected
Paulette Goddard,Tiny Sandford,Undirected
Virginia Cherrill,Harry Myers,Undirected
Yordanos Shiferaw,Kawsar Al Haddad,Undirected
Çetin Tekindor,Kyung-jin Lee,Undirected
Madhavan,Shraddha Srinath,Undirected
Mone Kamishiraishi,Aoi Yûki,Undirected
Sakshi Tanwar,Sanya Malhotra,Undirected
Rodney Rothman,Jake Johnson,Undirected
Robert Downey Jr.,Mark Ruffalo,Undirected
Robert Downey Jr.,Mark Ruffalo,Undirected
Anthony Gonzalez,Benjamin Bratt,Undirected
Christoph Waltz,Kerry Washington,Undirected
Tom Hardy,Gary Oldman,Undirected
Madhavan,Sharman Joshi,Undirected
Darsheel Safary,Tisca Chopra,Undirected
Elissa Knight,Fred Willard,Undirected
Martina Gedeck,Ulrich Tukur,Undirected
Yoo Ji-Tae,Kim Byeong-Ok,Undirected
Carrie-Anne Moss,Mark Boone Junior,Undirected
Yuriko Ishida,Billy Crudup,Undirected
James Woods,Treat Williams,Undirected
Karen Allen,John Rhys-Davies,Undirected
Shelley Duvall,Scatman Crothers,Undirected
Marlon Brando,Frederic Forrest,Undirected
Tom Skerritt,Veronica Cartwright,Undirected
Amitabh Bachchan,Ramesh Deo,Undirected
Yutaka Sada,Kyôko Kagawa,Undirected
George C. Scott,Keenan Wynn,Undirected
Marlene Dietrich,Elsa Lanchester,Undirected
Ralph Meeker,George Macready,Undirected
Grace Kelly,Thelma Ritter,Undirected
Gloria Swanson,Nancy Olson,Undirected
Paulette Goddard,Reginald Gardiner,Undirected
George MacKay,Colin Firth,Undirected
Adesh Prasad,Jyoti Malshe,Undirected
Tabu,Anil Dhawan,Undirected
Meena,Ansiba,Undirected
Thomas Bo Larsen,Lasse Fogelstrøm,Undirected
Leila Hatami,Shahab Hosseini,Undirected
Mélissa Désormeaux-Poulin,Mustafa Kamel,Undirected
Nisa Sofiya Aksongur,Celile Toyon Uysal,Undirected
Fikret Kuskan,Ege Tanman,Undirected
Diane Kruger,Mélanie Laurent,Undirected
Kate Winslet,Gerry Robert Byrne,Undirected
Mathieu Kassovitz,Lorella Cravotta,Undirected
Brad Pitt,Dennis Farina,Undirected
Jared Leto,Marlon Wayans,Undirected
Annette Bening,Wes Bentley,Undirected
Matt Damon,Stellan Skarsgård,Undirected
Amir Farrokh Hashemian,Nafise Jafar-Mohammadi,Undirected
Tim Allen,Jim Varney,Undirected
Sophie Marceau,Angus Macfadyen,Undirected
Tim Roth,Chris Penn,Undirected
R. Lee Ermey,Adam Baldwin,Undirected
Olga Mironova,Vladas Bagdonas,Undirected
Michael Biehn,Paul Reiser,Undirected
Tom Hulce,Roy Dotrice,Undirected
Michelle Pfeiffer,Mary Elizabeth Mastrantonio,Undirected
Harrison Ford,Billy Dee Williams,Undirected
Herbert Grönemeyer,Hubertus Bengsch,Undirected
Jodie Foster,Albert Brooks,Undirected
Robert Redford,Charles Durning,Undirected
Patrick Magee,Warren Clarke,Undirected
Gary Lockwood,Daniel Richter,Undirected
Lee Van Cleef,Mara Krupp,Undirected
Alec Guinness,Jack Hawkins,Undirected
Shirley MacLaine,Ray Walston,Undirected
Eva Marie Saint,Jessie Royce Landis,Undirected
Kim Novak,Tom Helmore,Undirected
Gene Kelly,Debbie Reynolds,Undirected
Nobuo Kaneko,Haruo Tanaka,Undirected
Enzo Staiola,Elena Altieri,Undirected
Barbara Stanwyck,Byron Barr,Undirected
Joseph Cotten,Agnes Moorehead,Undirected
Ellen Widmann,Otto Wernicke,Undirected
Alfred Abel,Rudolf Klein-Rogge,Undirected
Edna Purviance,Carl Miller,Undirected
Shraddha Kapoor,Prateik,Undirected
Paresh Rawal,Yami Gautam,Undirected
Srinidhi Shetty,Archana Jois,Undirected
Mahershala Ali,Sebastian Maniscalco,Undirected
